uid	code	category	long_description	short_description
900001	A1		Dressing for one wound	Dressing for one wound
900002	A2		Dressing for two wounds	Dressing for two wounds
900003	A3		Dressing for three wounds	Dressing for three wounds
900004	A4		Dressing for four wounds	Dressing for four wounds
900005	A5		Dressing for five wounds	Dressing for five wounds
900006	A6		Dressing for six wounds	Dressing for six wounds
900007	A7		Dressing for seven wounds	Dressing for seven wounds
900008	A8		Dressing for eight wounds	Dressing for eight wounds
900009	A9		Dressing for nine or more wounds	Dressing for 9 or more wound
900010	AA		Anesthesia services performed personally by anesthesiologist	Anesthesia perf by anesgst
900011	AD		Medical supervision by a physician: more than four concurrent anesthesia procedures	Md supervision, >4 anes proc
900012	AE		Registered dietician	Registered dietician
900013	AF		Specialty physician	Specialty physician
900014	AG		Primary physician	Primary physician
900015	AH		Clinical psychologist	Clinical psychologist
900016	AI		Principal physician of record	Principal physician of rec
900017	AJ		Clinical social worker	Clinical social worker
900018	AK		Non participating physician	Non participating physician
900019	AM		Physician, team member service	Physician, team member svc
900020	AO		Alternate payment method declined by provider of service	Prov declined alt pmt method
900021	AP		Determination of refractive state was not performed in the course of diagnostic ophthalmological examination	No dtmn of refractive state
900022	AQ		Physician providing a service in an unlisted health professional shortage area (hpsa)	Physician service hpsa area
900023	AR		Physician provider services in a physician scarcity area	Physician scarcity area
900024	AS		Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery	Assistant at surgery service
900025	AT		Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)	Acute treatment
900026	AU		Item furnished in conjunction with a urological, ostomy, or tracheostomy supply	Uro, ostomy or trach item
900027	AV		Item furnished in conjunction with a prosthetic device, prosthetic or orthotic	Item w prosthetic/orthotic
900028	AW		Item furnished in conjunction with a surgical dressing	Item w a surgical dressing
900029	AX		Item furnished in conjunction with dialysis services	Item w dialysis services
900030	AY		Item or service furnished to an esrd patient that is not for the treatment of esrd	Item/service not for esrd tx
900031	AZ		Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment	Physician serv in dent hpsa
900032	BA		Item furnished in conjunction with parenteral enteral nutrition (pen) services	Item w pen services
900033	BL		Special acquisition of blood and blood products	Spec acquisition blood prods
900034	BO		Orally administered nutrition, not by feeding tube	Nutrition oral admin no tube
900035	BP		The beneficiary has been informed of the purchase and rental options and has elected to purchase the item	Bene electd to purchase item
900036	BR		The beneficiary has been informed of the purchase and rental options and has elected to rent the item	Bene elected to rent item
900037	BU		The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision	Bene undecided on purch/rent
900038	CA		Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission	Procedure payable inpatient
900039	CB		Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable	Esrd bene part a snf-sep pay
900040	CC		Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed)	Procedure code change
900041	CD		Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable	Amcc test for esrd or mcp md
900042	CE		Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity	Med neces amcc tst sep reimb
900043	CF		Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable	Amcc tst not composite rate
900044	CG		Policy criteria applied	Policy criteria applied
900045	CH		0 percent impaired, limited or restricted	0 percent impaired, ltd, res
900046	CI		At least 1 percent but less than 20 percent impaired, limited or restricted	1 to <20 percent impaired
900047	CJ		At least 20 percent but less than 40 percent impaired, limited or restricted	20 to <40 percent impaired
900048	CK		At least 40 percent but less than 60 percent impaired, limited or restricted	40 to <60 percent impaired
900049	CL		At least 60 percent but less than 80 percent impaired, limited or restricted	60 to <80 percent impaired
900050	CM		At least 80 percent but less than 100 percent impaired, limited or restricted	80 to <100 percent impaired
900051	CN		100 percent impaired, limited or restricted	100 percent impaired, ltd
900052	CO		Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant	Outpatient ot service by ota
900053	CP		Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim	C-apc adjunctive service
900054	CQ		Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant	Outpatient pt service by pta
900055	CR		Catastrophe/disaster related	Catastrophe/disaster related
900056	CS		Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities	Gulf oil 2010 spill related
900057	CT		Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard	Ct does not meet nema standa
900058	E1		Upper left, eyelid	Upper left eyelid
900059	E2		Lower left, eyelid	Lower left eyelid
900060	E3		Upper right, eyelid	Upper right eyelid
900061	E4		Lower right, eyelid	Lower right eyelid
900062	EA		Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy	Esa, anemia, chemo-induced
900063	EB		Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy	Esa, anemia, radio-induced
900064	EC		Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy	Esa, anemia, non-chemo/radio
900065	ED		Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle	Hct>39% or hgb>13g>=3 cycle
900066	EE		Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle	Hct>39% or hgb>13g<3 cycle
900067	EJ		Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab	Subsequent claim
900068	EM		Emergency reserve supply (for esrd benefit only)	Emer reserve supply (esrd)
900069	EP		Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program	Medicaid epsdt program svc
900070	ER		Items and services furnished by a provider-based, off-campus emergency department	Off-campus ed service
900071	ET		Emergency services	Emergency services
900072	EX		Expatriate beneficiary	Expatriate beneficiary
900073	EY		No physician or other licensed health care provider order for this item or service	No md order for item/service
900074	F1		Left hand, second digit	Left hand, second digit
900075	F2		Left hand, third digit	Left hand, third digit
900076	F3		Left hand, fourth digit	Left hand, fourth digit
900077	F4		Left hand, fifth digit	Left hand, fifth digit
900078	F5		Right hand, thumb	Right hand, thumb
